Time,7Li,24Mg,43Ca,66Zn,85Rb,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
302.66147,600.0144003,4800.921777,386277.6,3800.577688,0,61551.16967,401754.1435,0,600.0144003,8202.690482,0
302.83175,200.0016,4600.846556,325996.2234,5601.254681,200.0016,57130.25699,630029.7549,0,0,4400.774536,0
303.0019,400.0064001,3800.577688,258036.0968,1800.129609,200.0016,62154.14227,414355.6546,0,0,4400.774536,0
303.17212,200.0016,7402.191049,373909.9368,3800.577688,200.0016,37255.43609,338522.6628,0,200.0016,3200.409652,0
303.34233,200.0016,12606.3536,367490.403,3200.409652,0,51305.07279,328664.7538,0,200.0016,1000.040002,0
303.51254,200.0016,7402.191049,349621.9864,3800.577688,0,60948.22609,426349.0204,0,200.0016,4200.705719,0
303.68275,400.0064001,5801.345912,406090.9579,4200.705719,200.0016,44077.57653,518536.665,0,200.0016,2800.313635,0
303.85304,0,4000.640102,267652.8588,3800.577688,0,46486.27853,436076.0885,0,0,1800.129609,0
304.02327,0,7402.191049,526322.8597,3000.360043,200.0016,40666.04165,427383.4612,0,0,1200.057603,0
304.19341,0,5201.081825,465509.5139,1800.129609,400.0064001,40264.74571,387721.2794,0,600.0144003,2800.313635,0
304.36362,200.0016,15009.0054,386277.6,1600.102407,400.0064001,77841.62039,427176.5663,0,400.0064001,2600.270428,0
304.53385,400.0064001,5001.0002,324764.7836,2600.270428,0,87102.4196,713603.9364,0,0,4600.846556,0
304.70406,0,6001.440346,340371.875,5001.0002,0,56929.34347,655971.8893,0,1200.057603,600.0144003,0
304.87434,400.0064001,5801.345912,318814.5123,4000.640102,0,40264.74571,455967.286,0,400.0064001,1000.040002,0
305.04457,0,7202.074197,412288.9764,4200.705719,0,62958.15087,272743.4473,0,0,3200.409652,0
305.21472,0,5001.0002,317994.0047,3000.360043,0,67783.28601,299751.4552,0,400.0064001,5001.0002,0
305.38492,0,5201.081825,1089043.564,3800.577688,0,40465.39207,478174.3767,0,400.0064001,2600.270428,0
305.55514,400.0064001,9403.535729,503632.5087,3200.409652,200.0016,73616.13698,437939.5676,0,800.0256008,3000.360043,0
305.7254,200.0016,13006.76352,474891.3975,7602.311103,0,60948.22609,378443.3472,0,200.0016,4800.921777,0
305.89572,400.0064001,6801.850103,812221.2818,3200.409652,200.0016,72207.95892,1368464.459,0,600.0144003,2800.313635,0
306.06594,0,3200.409652,370613.9283,1600.102407,0,40264.74571,380092.2617,0,400.0064001,2800.313635,0
306.23614,400.0064001,7202.074197,615571.5735,7602.311103,200.0016,57331.17373,301799.8688,0,400.0064001,7602.311103,0
306.40636,0,5201.081825,341399.3318,3200.409652,0,77237.89271,1222418.484,0,200.0016,4400.774536,0
306.57658,600.0144003,7202.074197,1250901.4,7402.191049,200.0016,43475.47342,326201.475,0,600.0144003,2400.230422,0
306.74688,400.0064001,8002.560819,890881.1651,5801.345912,0,30236.52572,211575.5419,0,0,3800.577688,0
306.91702,0,11605.3849,355792.4801,3600.518475,200.0016,40064.10256,381122.9421,0,600.0144003,6201.537981,0
307.08724,400.0064001,8202.690482,330923.1804,8402.823349,200.0016,45281.86962,877815.6224,0,1200.057603,5601.254681,0
307.25745,0,6001.440346,415182.42,5001.0002,0,63561.19118,748179.3076,0,200.0016,4000.640102,0
307.42766,200.0016,8602.959418,353118.2307,4600.846556,400.0064001,58938.62364,349005.1022,0,1200.057603,2600.270428,0
307.59789,600.0144003,20216.3348,559602.0411,3800.577688,200.0016,45081.14606,277240.7768,0,800.0256008,2400.230422,0
307.76818,0,12406.15345,362377.6519,5001.0002,400.0064001,83880.49638,480459.5452,0,800.0256008,5801.345912,0
307.93831,400.0064001,9003.241167,639774.6145,4600.846556,200.0016,49497.80767,557827.2505,0,200.0016,5401.166652,0
308.10853,0,8803.098691,384627.8817,10204.1633,0,74018.50262,648080.381,0,800.0256008,10204.1633,0
308.27875,600.0144003,8803.098691,574728.9418,5001.0002,0,53715.16531,319019.6476,0,600.0144003,4200.705719,0
308.44897,200.0016,8803.098691,418921.8652,7202.074197,0,80256.82183,308561.9878,0,800.0256008,7402.191049,0
308.61918,200.0016,6601.74286,331128.5119,7402.191049,200.0016,51706.72268,308561.9878,0,400.0064001,5801.345912,0
308.78947,600.0144003,6001.440346,339549.9696,5001.0002,0,46687.02461,1151856.946,0,1600.102407,6401.63882,0
308.9597,0,9403.535729,310816.8307,5601.254681,0,60747.25134,443117.3314,0,1200.057603,3400.462463,0
309.12984,400.0064001,8402.823349,260077.7606,6601.74286,0,46285.53567,1319235.479,0,200.0016,2400.230422,0
309.30006,200.0016,6801.850103,487733.2637,8202.690482,0,83075.14488,754503.9477,0,200.0016,5001.0002,0
309.47027,200.0016,13807.62181,464471.9687,6401.63882,200.0016,39662.82592,388133.7894,0,800.0256008,8803.098691,0
309.64048,400.0064001,7001.960549,268043.4044,8602.959418,200.0016,55924.82421,419110.2905,0,1800.129609,7202.074197,0
309.81077,600.0144003,5601.254681,383803.1029,4400.774536,0,60144.34643,445396.2154,0,1200.057603,2800.313635,0
309.98091,0,7402.191049,276218.5159,4600.846556,0,167920.3647,653003.279,0,1200.057603,6801.850103,0
310.15113,0,9003.241167,410842.5016,6401.63882,200.0016,48293.10911,324149.1086,0,400.0064001,2800.313635,0
310.32135,0,9603.687816,490018.2982,9003.241167,200.0016,69593.1907,418903.5302,0,400.0064001,4200.705719,0
310.49157,200.0016,13807.62181,516453.0089,7402.191049,0,44880.42572,416215.9524,0,0,4200.705719,0
310.66178,800.0256008,8402.823349,253545.5978,6601.74286,200.0016,43876.87228,639875.551,0,1000.040002,3600.518475,0
310.83206,600.0144003,6401.63882,371849.8311,10004.0016,0,43274.77882,590646.5707,0,1000.040002,2800.313635,200.0016
311.00222,800.0256008,9803.843106,667003.0357,9803.843106,200.0016,37857.24015,378649.4498,0,800.0256008,1400.078404,0
311.17243,400.0064001,9003.241167,326611.9882,5001.0002,200.0016,63963.23417,506248.0105,0,1400.078404,3000.360043,0
311.34264,400.0064001,10604.49631,363818.6142,5401.166652,200.0016,49899.3996,554637.8601,0,800.0256008,1800.129609,0
311.51285,200.0016,5601.254681,473378.7075,13407.18625,0,93548.74974,961504.8889,0,1000.040002,2400.230422,0
311.68306,0,7001.960549,475681.9331,7001.960549,200.0016,71202.21429,376794.6469,0,200.0016,3600.518475,0
311.85334,200.0016,7402.191049,476404.0876,7402.191049,0,60747.25134,840073.4042,0,200.0016,1800.129609,0
312.02357,800.0256008,19214.75693,406917.1856,5601.254681,0,40866.69445,371231.8646,0,200.0016,3600.518475,0
312.19373,200.0016,8002.560819,482329.5334,10204.1633,0,50702.62211,761307.0357,0,800.0256008,2800.313635,0
312.36392,0,5801.345912,392672.2842,6601.74286,200.0016,60345.31151,567182.3738,0,600.0144003,9403.535729,0
312.53415,0,8402.823349,294836.6156,10204.1633,200.0016,95362.37703,777716.6958,0,200.0016,4000.640102,0
312.70434,200.0016,8002.560819,438353.7112,8803.098691,600.0144003,149488.56,542314.4198,0,0,3800.577688,0
312.87464,0,9603.687816,303438.8386,11805.57223,400.0064001,50903.43578,424280.3912,0,400.0064001,3000.360043,0
313.04487,400.0064001,12806.55696,441612.2161,8202.690482,200.0016,186379.2061,781063.0873,0,400.0064001,3000.360043,0
313.21501,200.0016,10204.1633,298727.3728,5001.0002,0,79854.25595,680428.6372,0,200.0016,6201.537981,0
313.38523,600.0144003,11605.3849,359290.4268,6401.63882,400.0064001,64365.29006,808895.05,0,200.0016,2600.270428,0
313.55545,200.0016,5201.081825,396593.1994,10004.0016,0,69995.42723,615803.9264,0,400.0064001,3000.360043,0
313.72567,0,10004.0016,368760.2997,3600.518475,0,81263.29307,456382.0168,0,0,1800.129609,0
313.89596,200.0016,12806.55696,1001307.54,3400.462463,0,69190.96707,569901.9752,0,1000.040002,1800.129609,0
314.06618,400.0064001,9203.386846,346332.2843,4800.921777,200.0016,66174.70121,1225700.416,0,200.0016,3800.577688,0
314.23633,200.0016,8803.098691,353529.617,7202.074197,200.0016,101611.3226,1775424.03,0,600.0144003,3600.518475,0
314.40653,200.0016,7202.074197,388133.7894,7202.074197,0,111495.038,1122319.558,0,400.0064001,4000.640102,0
314.57674,400.0064001,6201.537981,466962.2193,6601.74286,200.0016,55523.03905,1046835.121,0,1400.078404,2800.313635,0
314.74695,600.0144003,7001.960549,980129.8789,6601.74286,200.0016,84081.84234,731769.6475,0,400.0064001,1600.102407,0
314.91723,200.0016,6601.74286,382153.7062,5201.081825,0,167920.3647,881203.2068,0,1000.040002,2200.193617,0
315.08746,200.0016,15809.99191,747175.6091,6401.63882,200.0016,104837.8027,704509.1878,0,400.0064001,4600.846556,0
315.2576,400.0064001,17011.56787,1196444.558,12005.76277,600.0144003,97780.9546,731769.6475,0,400.0064001,4000.640102,0
315.4278,400.0064001,9003.241167,388340.0494,7602.311103,200.0016,184349.4379,614754.0984,0,400.0064001,4000.640102,0
315.59801,200.0016,10804.66762,461359.8403,6401.63882,200.0016,64365.29006,901152.9121,0,400.0064001,7602.311103,0
315.76822,0,10204.1633,379680.013,12205.95651,0,86699.63393,914684.7116,0,1000.040002,5201.081825,0
315.93857,400.0064001,7602.311103,243141.9432,4600.846556,0,123608.1521,696899.926,0,800.0256008,3800.577688,0
316.10879,400.0064001,11405.20077,355175.2955,6401.63882,0,170555.6853,1179753.368,0,800.0256008,3600.518475,0
316.27899,200.0016,6801.850103,372673.8333,11004.84213,200.0016,118559.6013,718259.5528,0,200.0016,11805.57223,0
316.44921,0,11805.57223,387515.0294,5801.345912,0,78244.12166,748562.2003,0,800.0256008,4000.640102,0
316.61943,200.0016,6801.850103,460115.2019,4200.705719,200.0016,79652.97786,927800.4099,0,400.0064001,2200.193617,0
316.78972,200.0016,7402.191049,1076942.043,4800.921777,0,176842.1392,794043.8457,0,600.0144003,4400.774536,0
316.95986,0,8202.690482,738099.4687,10804.66762,0,116137.0176,1309389.683,0,600.0144003,5201.081825,0
317.13008,200.0016,8602.959418,270904.0919,8202.690482,600.0144003,83679.15366,666929.496,0,800.0256008,4000.640102,0
317.30029,400.0064001,6001.440346,466547.1437,8202.690482,0,95966.97772,655761.2577,0,600.0144003,1600.102407,0
317.47053,400.0064001,7802.43436,701794.9071,8202.690482,0,85088.6206,1228982.349,0,0,4000.640102,0
317.64074,200.0016,8402.823349,467327.9472,8202.690482,0,111696.8275,848877.1248,0,0,3400.462463,0
317.81101,200.0016,5201.081825,282966.9663,4200.705719,0,115531.4446,960971.3142,0,400.0064001,3600.518475,0
317.98116,600.0144003,7202.074197,301390.1596,8202.690482,0,93347.25178,558817.9967,0,1000.040002,1800.129609,0
318.15138,600.0144003,9003.241167,368554.3577,5401.166652,0,67180.04251,743471.4556,0,200.0016,3000.360043,0
318.32158,200.0016,14208.07018,1497469.881,7001.960549,0,75829.30783,785921.5258,0,600.0144003,3600.518475,0
318.4918,400.0064001,14608.53138,484823.278,5001.0002,0,123406.1711,798728.6387,0,1200.057603,4200.705719,0
318.66206,200.0016,8002.560819,254157.8445,6601.74286,400.0064001,74420.88118,1283134.227,0,400.0064001,6601.74286,0
318.83239,0,6801.850103,392878.618,5201.081825,0,133509.2009,688239.3075,0,1400.078404,3000.360043,0
319.0026,0,7402.191049,333798.1241,14208.07018,200.0016,76432.96769,1033707.393,0,200.0016,4200.705719,0
319.17281,200.0016,6801.850103,554219.9217,4400.774536,0,75024.47322,583089.7823,0,1400.078404,3400.462463,0
319.34302,0,8002.560819,843987.7731,5001.0002,600.0144003,85491.35454,710437.0894,0,600.0144003,1800.129609,0
319.51325,400.0064001,6801.850103,774404.0302,4400.774536,200.0016,76634.1941,469452.9569,0,400.0064001,3800.577688,0
319.68353,200.0016,7202.074197,491530.9882,4600.846556,0,71805.65139,577017.5151,0,800.0256008,3200.409652,0
319.85368,800.0256008,8202.690482,507705.3676,6401.63882,400.0064001,92138.33195,920480.7387,0,800.0256008,5201.081825,0
320.0239,0,5601.254681,422418.9127,3600.518475,0,105644.5523,591679.6331,0,600.0144003,7001.960549,0
320.19411,400.0064001,10804.66762,400928.2515,11004.84213,0,108065.1122,933608.4667,0,400.0064001,3600.518475,0
320.36432,200.0016,6201.537981,278467.5991,4400.774536,0,55322.15131,672694.8712,0,800.0256008,8803.098691,0
320.53454,200.0016,6201.537981,286035.6351,3200.409652,600.0144003,98385.67183,624836.001,0,400.0064001,8002.560819,0
320.70491,200.0016,13407.18625,347977.0286,6001.440346,0,66174.70121,623785.4326,0,800.0256008,3200.409652,0
320.87512,0,6801.850103,604982.743,3200.409652,0,56527.5261,718471.2118,0,2000.160013,5001.0002,0
321.04533,0,8803.098691,585317.7722,5001.0002,400.0064001,220121.218,599436.4028,0,1400.078404,8602.959418,0
321.21553,200.0016,5801.345912,654901.5151,2600.270428,0,111091.4687,1018466.867,0,800.0256008,10004.0016,0
321.38583,600.0144003,3800.577688,827348.1824,7001.960549,400.0064001,53112.59871,592098.7978,0,1200.057603,8002.560819,0
321.55606,0,10404.3282,386896.2996,4200.705719,0,80256.82183,725205.7835,0,1000.040002,4600.846556,0
321.7262,0,6601.74286,501252.6215,4200.705719,0,166298.9032,569065.1132,0,1000.040002,4000.640102,0
321.89641,400.0064001,7402.191049,527500.2655,3600.518475,0,58737.68112,1027143.529,0,2200.193617,5401.166652,0
322.06662,400.0064001,11004.84213,454723.1748,5201.081825,0,47289.28216,536052.8208,0,600.0144003,8602.959418,0
322.23683,600.0144003,4400.774536,295450.8661,3200.409652,0,89519.40524,662292.4434,0,1000.040002,7202.074197,0
322.40713,0,6801.850103,344276.6541,3000.360043,0,104434.4473,1370105.425,0,2200.193617,4000.640102,0
322.57736,600.0144003,11805.57223,471944.1818,6401.63882,200.0016,71001.07504,425935.2676,0,1200.057603,8602.959418,200.0016
322.74749,400.0064001,6001.440346,431108.1453,5601.254681,0,60747.25134,719952.9222,0,2600.270428,8803.098691,0
322.9177,200.0016,11605.3849,409809.4061,3600.518475,0,79451.703,651970.4818,0,400.0064001,9603.687816,0
323.08792,0,3800.577688,865165.434,2000.160013,0,58536.74183,619584.0199,0,800.0256008,11205.01985,0
323.25827,600.0144003,5401.166652,337906.3187,2400.230422,0,65169.44055,803972.152,0,400.0064001,4400.774536,0
323.42848,0,7402.191049,324149.1086,4400.774536,0,76634.1941,389577.6799,0,2400.230422,12005.76277,0
323.59871,400.0064001,6201.537981,260486.133,3800.577688,0,49497.80767,316148.0569,0,1600.102407,6801.850103,0
323.76891,1000.040002,6801.850103,775916.7203,1800.129609,0,73012.61273,426555.9018,0,600.0144003,8602.959418,0
323.93912,200.0016,5201.081825,315532.8008,1000.040002,0,64566.32285,532505.944,0,400.0064001,3400.462463,0
324.10933,200.0016,4800.921777,264570.5831,4000.640102,200.0016,67984.37362,527500.2655,0,1800.129609,5001.0002,0
324.27962,400.0064001,4800.921777,618596.9536,2600.270428,0,50903.43578,388752.5795,0,1000.040002,5401.166652,0
324.44976,600.0144003,9803.843106,452649.9263,2400.230422,0,49297.01653,622314.7814,0,1000.040002,15009.0054,0
324.61999,0,6401.63882,474891.3975,1400.078404,400.0064001,51706.72268,497299.3261,0,800.0256008,4400.774536,0
324.7902,400.0064001,6801.850103,792556.311,1600.102407,200.0016,43876.87228,561109.1825,0,800.0256008,6601.74286,0
324.9604,0,7202.074197,284603.497,2800.313635,0,43074.08743,417869.7792,0,200.0016,3800.577688,0
325.13063,0,3000.360043,515734.0293,4800.921777,0,61149.20406,503333.7958,0,1600.102407,1800.129609,0
325.30098,600.0144003,7001.960549,387927.5327,2000.160013,0,50100.2004,443324.4858,0,200.0016,6001.440346,0
325.47119,0,11405.20077,709358.3575,2200.193617,0,36854.24946,457626.2902,0,400.0064001,6801.850103,0
325.6414,400.0064001,11405.20077,282762.4148,3000.360043,0,77439.13204,565090.7663,0,2200.193617,6201.537981,0
325.8116,200.0016,6401.63882,354558.141,2800.313635,0,40264.74571,635977.3255,0,400.0064001,1800.129609,0
325.98183,0,4600.846556,381329.0882,3000.360043,0,42271.35405,483576.3447,0,1000.040002,4800.921777,0
326.15213,600.0144003,6601.74286,395767.6429,3000.360043,200.0016,47088.52643,449333.4311,0,600.0144003,5001.0002,0
326.32227,0,8002.560819,501876.9381,3200.409652,0,62355.13959,343660.03,0,400.0064001,3400.462463,0
326.49249,200.0016,7602.311103,359907.8117,4000.640102,0,36252.49361,316148.0569,0,1000.040002,4200.705719,0
326.6627,0,6001.440346,349416.355,4600.846556,0,55322.15131,525206.6521,0,1200.057603,4600.846556,0
326.8329,600.0144003,9603.687816,458251.8068,4600.846556,0,58335.80576,547981.4544,0,600.0144003,2600.270428,0
327.00312,200.0016,5201.081825,722972.568,2200.193617,0,39662.82592,278467.5991,0,1600.102407,3000.360043,0
327.17342,400.0064001,8803.098691,331744.5263,3200.409652,0,50702.62211,366083.3144,0,1200.057603,5401.166652,0
327.34355,200.0016,6001.440346,685155.3164,4000.640102,200.0016,52108.38544,318199.1266,0,200.0016,2400.230422,200.0016
